"Status","Name","Duration in ms","Description"
"passed","Testcase.aweme_material.test_poi_rank.TestCase_Poi_Rank#test_poi_rank_get_label","568","验证抖音本地生活榜查看任意分类"
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_is_city","865",""
"passed","Testcase.aweme_material.test_rank_promotionAweme.TestCase_Rank_PromotionAweme#test_rank_promotionAweme_big_type","471",""
"passed","Testcase.author.test_author_search.TestCase_Author_Search#test_author_search_star_product_category","555",""
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_is_city","182",""
"passed","Testcase.author.test_author_search.TestCase_Author_Search#test_author_search_city_type","645",""
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_is_city","333",""
"passed","Testcase.author.test_author_search.TestCase_Author_Search#test_author_search_city_type","184",""
"passed","Testcase.author.test_authorRank_bangNew_D.TestCase_AuthorRank_BangNew_D#test_authorRank_bangNew_D_city_type","416",""
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_is_city","199",""
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_is_city","303",""
"passed","Testcase.shop_brand.test_brand_search.TestCase_Brand_Search#test_brand_search_product_type","280",""
"passed","Testcase.product.test_rank_yesterdaySaleRank.TestCase_Rank_YesterdaySaleRank#test_yesterdaySaleRank_big_category","403","验证抖音销量榜日榜、周榜、月榜遍历商品一级分类返回的数据是否大于20条"
"passed","Testcase.aweme_material.test_poi_rank.TestCase_Poi_Rank#test_poi_rank_get_label","169","验证抖音本地生活榜查看任意分类"
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_product_type","416",""
"passed","Testcase.author.test_author_search.TestCase_Author_Search#test_author_search_city_type","537",""
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_is_city","229",""
"passed","Testcase.product.test_product_search.TestCase_Product_Search#test_product_search_sort","451","验证选品库昨日、7天、30天按分类升序降序，排序结果是否正确"
"passed","Testcase.shop_brand.test_shop_search.TestCase_Shop_Search#test_shop_search_avg","13378",""
"passed","Testcase.author.test_author_search.TestCase_Author_Search#test_author_search_star_product_category","376",""
"passed","Testcase.author.test_author_search.TestCase_Author_Search#test_author_search_star_product_category","309",""
"passed","Testcase.author.test_rank_officialStarRank_2.TestCase_Rank_OfficialStarRank_2#test_rank_officialStarRank_2","563","验证视频涨粉指数榜返回的数据是否大于20条"
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_is_city","768",""
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_is_city","208",""
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_is_city","227",""
"passed","Testcase.author.test_author_search.TestCase_Author_Search#test_author_search_city_type","204",""
"passed","Testcase.product.test_product_search.TestCase_Product_Search#test_product_search_big_category","301","验证选品库遍历商品一级分类是否有返回数据"
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_is_city","221",""
"passed","Testcase.live.test_rank_sales.TestCase_Rank_Sales#test_sales_big_category","395","验证达人带货榜日榜、周榜、月榜遍历商品一级分类是否有返回数据"
